RA;TURMA;TURMA_NOME
11201722296;DAMCTC014-13SA;Introdução à Inferência Estatística A-Matutino (Santo André)
11201722296;DA1ESZG032-17SA;Modelos e Ferramentas de Gestão Ambiental A1-Matutino (Santo André)
11201722296;NA2BCM0505-15SA;Processamento da Informação A2-Noturno (Santo André)
11032014;NAMCTB010-13SA;Cálculo Vetorial e Tensorial A-Noturno (Santo André)
11032014;NB1ESTI006-17SA;Processamento Digital de Sinais B1-Noturno (Santo André)
11032014;NA1ESTA008-17SA;Sistemas de Controle II A1-Noturno (Santo André)
13201812294;NA2ESHC035-21SB;Econometria I A2-Noturno (São Bernardo)
13201812294;NA1ESTG003-17SB;Economia de Empresas A1-Noturno (São Bernardo)
13201812294;NA1ESHC027-17SB;Economia Matemática A1-Noturno (São Bernardo)
13201812294;NA1ESHC016-17SB;Finanças Corporativas A1-Noturno (São Bernardo)
11054214;NAESTE037-17SA;Análise Econômica de Projetos Energéticos A-Noturno (Santo André)
11054214;NA1ESZG010-17SB;Planejamento e Controle de Projetos A1-Noturno (São Bernardo)
21065813;DA1ESHC035-21SB;Econometria I A1-Matutino (São Bernardo)
21065813;DA1ESHC007-21SB;Economia Brasileira I A1-Matutino (São Bernardo)
21065813;DA1ESHC022-17SB;Macroeconomia I A1-Matutino (São Bernardo)
21065813;DA1ESHC025-17SB;Microeconomia I A1-Matutino (São Bernardo)
11202130376;NB1BCS0001-15SA;Base Experimental das Ciências Naturais B1-Noturno (Santo André)
11202130376;DA6BCJ0205-15SA;Fenômenos Térmicos A6-Matutino (Santo André)
11202130376;DB1BCN0402-15SA;Funções de Uma Variável B1-Matutino (Santo André)
11201811714;NA1NHI5015-15SA;LIBRAS A1-Noturno (Santo André)
11202131103;NB1BCJ0204-15SA;Fenômenos Mecânicos B1-Noturno (Santo André)
11202131103;NB2BCN0402-15SA;Funções de Uma Variável B2-Noturno (Santo André)
11202131103;NB1BCN0404-15SA;Geometria Analítica B1-Noturno (Santo André)
11202131103;NA2BCN0405-15SA;Introdução às Equações Diferenciais Ordinárias A2-Noturno (Santo André)
11108712;DA1ESTA004-17SA;Circuitos Elétricos II A1-Matutino (Santo André)
11108712;DA1MCTA007-17SA;Compiladores A1-Matutino (Santo André)
11108712;DA2MCTA024-13SA;Sistemas Digitais A2-Matutino (Santo André)
11108712;NA1MCTA025-13SA;Sistemas Distribuídos A1-Noturno (Santo André)
11202130003;NB1BCL0306-15SA;Biodiversidade: Interações entre organismos e ambiente B1-Noturno (Santo André)
11202130003;NA1NHT5004-15SA;Educação Científica, Sociedade e Cultura A1-Noturno (Santo André)
11202130003;NA1BHQ0002-15SA;Estudos Étnico-Raciais A1-Noturno (Santo André)
11202130003;NA1LIE0001-19SA;Metodologias de Pesquisa em Educação A1-Noturno (Santo André)
11201811707;DB1ESTA007-17SA;Eletrônica Analógica Aplicada B1-Matutino (Santo André)
11201811707;DA1ESTI002-17SA;Eletrônica Digital A1-Matutino (Santo André)
11201811707;DA2ESTO017-17SA;Métodos Experimentais em Engenharia A2-Matutino (Santo André)
11201811707;DAESTI006-17SA;Processamento Digital de Sinais A-Matutino (Santo André)
11201921586;NA1BHO0102-15SB;Desenvolvimento e Sustentabilidade A1-Noturno (São Bernardo)
11201921586;NB1BIQ0602-15SB;Estrutura e Dinâmica Social B1-Noturno (São Bernardo)
11201921586;NA1BHO0001-19SB;Introdução às Humanidades e às Ciências Sociais A1-Noturno (São Bernardo)
11201722567;NA1NHT4005-15SA;Eletroanalítica e Técnicas de Separação A1-Noturno (Santo André)
11201722567;NA1BCK0104-15SA;Interações Atômicas e Moleculares A1-Noturno (Santo André)
11201722567;NA2BCS0002-15SA;Projeto Dirigido A2-Noturno (Santo André)
11201722567;NA1NHT4040-15SA;Química Orgânica Aplicada A1-Noturno (Santo André)
11084613;NA1ESHR024-14SB;História da Política Externa Brasileira A1-Noturno (São Bernardo)
11084613;NA1BHO1102-19SB;Introdução à Economia A1-Noturno (São Bernardo)
11084613;NA1ESHT012-17SB;Mobilização Produtiva dos Territórios e Desenvolvimento Local A1-Noturno (São Bernardo)
21033215;NA1ESHR001-13SB;Análise da Conjuntura Internacional Contemporânea A1-Noturno (São Bernardo)
